Temperature_A,Humidity_A,Temperature_B,Humidity_B,Temperature_C,Humidity_C,Weight_A1,Weight_A2,Weight_A3,Weight_B1,Weight_B2,Weight_B3,Weight_C1,Weight_C2,Weight_C3,Priority_A,Priority_B,Priority_C
23.1,71.1,25.6,77.7,36.4,80.4,57.0,0.0,0.0,83.2,17.2,21.4,35.6,39.2,23.2,Baixa,Baixa,Baixa
23.1,71.1,25.6,77.7,36.4,80.4,57.0,0.0,0.0,83.2,17.2,21.4,35.6,39.2,23.2,Baixa,Baixa,Baixa
23.1,71.1,25.6,77.7,36.4,80.4,57.0,0.0,0.0,83.2,17.2,21.4,35.6,39.2,23.2,Baixa,Baixa,Baixa
23.1,71.9,25.5,78.1,36.3,81.0,57.0,0.0,0.0,83.2,17.2,21.4,35.6,39.2,23.2,Baixa,Baixa,Baixa
23.1,71.9,25.5,78.1,36.3,81.0,57.0,0.0,0.0,83.2,17.2,21.4,35.6,39.2,23.2,Baixa,Baixa,Baixa
23.1,71.9,25.5,78.1,36.3,81.0,57.0,0.0,0.0,83.2,17.2,21.4,35.6,39.2,23.2,Baixa,Baixa,Baixa
23.1,72.1,25.5,78.1,36.3,81.1,57.0,0.0,0.0,83.2,17.2,21.4,35.6,39.2,23.2,Baixa,Baixa,Baixa
23.0,72.3,25.6,77.6,36.3,80.9,57.0,0.0,0.0,83.2,17.2,21.4,35.6,39.2,23.2,Baixa,Baixa,Baixa
23.0,72.6,25.6,77.3,36.3,80.9,57.0,0.0,0.0,83.2,17.2,21.4,35.6,39.2,23.2,Baixa,Baixa,Baixa
22.9,74.3,25.6,77.3,36.2,81.8,57.0,0.0,0.0,83.2,17.2,21.4,35.6,39.2,23.2,Baixa,Baixa,Baixa
23.0,73.2,25.6,77.1,36.3,81.2,57.0,0.0,0.0,83.2,17.2,21.4,35.6,39.2,23.2,Baixa,Baixa,Baixa
23.0,73.0,25.7,76.6,36.4,80.8,57.0,0.0,0.0,83.2,17.2,21.4,35.6,39.2,23.2,Baixa,Baixa,Baixa
22.8,73.0,25.7,76.5,36.2,80.8,57.0,0.0,0.0,83.2,17.2,21.4,35.6,39.2,23.2,Baixa,Baixa,Baixa
22.8,73.3,25.7,77.2,36.2,81.2,57.0,0.0,0.0,83.2,17.2,21.4,35.6,39.2,23.2,Baixa,Baixa,Baixa
22.8,73.6,25.7,77.7,36.2,81.6,57.0,0.0,0.0,83.2,17.2,21.4,35.6,39.2,23.2,Baixa,Baixa,Baixa
22.7,73.8,25.7,77.9,36.2,81.8,57.0,0.0,0.0,83.2,17.2,21.4,35.6,39.2,23.2,Baixa,Baixa,Baixa
22.7,73.8,25.7,77.9,36.2,81.8,57.0,0.0,0.0,83.2,17.2,21.4,35.6,39.2,23.2,Baixa,Baixa,Baixa
22.7,74.1,25.7,77.8,36.2,81.9,57.0,0.0,0.0,83.2,17.2,21.4,35.6,39.2,23.2,Baixa,Baixa,Baixa
22.7,74.2,25.7,77.8,36.2,82.0,57.0,0.0,0.0,83.2,17.2,21.4,35.6,39.2,23.2,Baixa,Baixa,Baixa
22.7,74.3,25.7,77.5,36.2,81.9,57.0,0.0,0.0,83.2,17.2,21.4,35.6,39.2,23.2,Baixa,Baixa,Baixa
22.7,74.4,25.7,77.6,36.2,82.0,57.0,0.0,0.0,83.2,17.2,21.4,35.6,39.2,23.2,Baixa,Baixa,Baixa
22.6,73.9,25.7,77.6,36.2,81.8,57.0,0.0,0.0,83.2,17.2,21.4,35.6,39.2,23.2,Baixa,Baixa,Baixa
22.6,72.1,25.7,77.6,36.2,80.8,57.0,0.0,0.0,83.2,17.2,21.4,35.6,39.2,23.2,Baixa,Baixa,Baixa
22.5,70.3,25.7,77.6,36.1,79.9,57.0,0.0,0.0,83.2,17.2,21.4,35.6,39.2,23.2,Baixa,Baixa,Baixa
22.5,69.4,25.8,77.5,36.2,79.4,57.0,0.0,0.0,83.2,17.2,21.4,35.6,39.2,23.2,Baixa,Baixa,Baixa
22.5,68.4,25.8,77.8,36.2,79.1,57.0,0.0,0.0,83.2,17.2,21.4,35.6,39.2,23.2,Baixa,Baixa,Baixa
22.5,67.7,25.8,78.0,36.2,78.8,57.0,0.0,0.0,83.2,17.2,21.4,35.6,39.2,23.2,Baixa,Baixa,Baixa
22.3,66.7,25.8,77.9,36.0,78.3,57.0,0.0,0.0,83.2,17.2,21.4,35.6,39.2,23.2,Baixa,Baixa,Baixa
22.4,66.1,25.8,77.9,36.1,78.0,57.0,0.0,0.0,83.2,17.2,21.4,35.6,39.2,23.2,Baixa,Baixa,Baixa
22.3,65.6,25.9,78.1,36.1,77.8,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,23.2,Baixa,Baixa,Baixa
22.2,64.9,25.9,78.0,36.0,77.4,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,23.2,Baixa,Baixa,Baixa
22.2,64.4,25.8,77.8,36.0,77.1,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,23.2,Baixa,Baixa,Baixa
22.2,63.9,25.9,77.9,36.0,76.9,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,23.2,Baixa,Baixa,Baixa
22.2,63.7,25.9,77.7,36.0,76.7,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,23.2,Baixa,Baixa,Baixa
22.2,63.7,25.9,77.6,36.0,76.6,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,23.2,Baixa,Baixa,Baixa
22.1,63.4,25.9,77.5,36.0,76.4,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,23.2,Baixa,Baixa,Baixa
22.1,63.0,25.9,77.4,36.0,76.2,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,23.2,Baixa,Baixa,Baixa
22.0,62.6,25.9,77.2,36.0,75.9,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,23.2,Baixa,Baixa,Baixa
22.0,62.1,26.0,77.2,36.0,75.6,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,23.2,Baixa,Baixa,Baixa
21.9,61.8,25.9,77.1,35.9,75.4,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,23.2,Baixa,Baixa,Baixa
21.9,61.5,25.9,77.0,35.9,75.2,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,23.2,Baixa,Baixa,Média
21.9,61.3,26.0,76.9,36.0,75.1,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,23.2,Baixa,Baixa,Média
21.9,61.4,26.0,76.8,36.0,75.1,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,23.2,Baixa,Baixa,Média
21.8,61.2,26.0,76.7,35.9,75.0,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,23.2,Baixa,Baixa,Média
21.8,60.9,26.0,76.6,35.9,74.8,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,23.2,Baixa,Baixa,Média
21.8,60.4,26.0,76.5,35.9,74.4,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,23.2,Baixa,Baixa,Média
21.7,60.2,26.0,76.5,35.8,74.4,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,23.2,Baixa,Baixa,Média
21.7,60.0,26.0,76.3,35.8,74.2,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,23.2,Baixa,Baixa,Média
21.7,60.2,26.0,76.2,35.8,74.2,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,23.2,Baixa,Baixa,Média
21.6,60.0,26.0,76.1,35.8,74.0,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,23.2,Baixa,Baixa,Média
21.6,60.1,26.0,76.1,35.8,74.1,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,23.2,Baixa,Baixa,Média
21.6,60.0,26.1,76.2,35.8,74.1,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,23.2,Baixa,Baixa,Média
21.5,60.0,26.0,76.0,35.8,74.0,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,23.2,Baixa,Baixa,Média
