inTemp,inHum,outTemp,outHum
23.10,71.10,25.60,77.70
23.10,71.10,25.60,77.70
23.10,71.10,25.60,77.70
23.10,71.90,25.50,78.10
23.10,71.90,25.50,78.10
23.10,71.90,25.50,78.10
23.10,72.10,25.50,78.10
23.00,72.30,25.60,77.60
23.00,72.60,25.60,77.30
22.90,74.30,25.60,77.30
23.00,73.20,25.60,77.10
23.00,73.00,25.70,76.60
22.80,73.00,25.70,76.50
22.80,73.30,25.70,77.20
22.80,73.60,25.70,77.70
22.70,73.80,25.70,77.90
22.70,73.80,25.70,77.90
22.70,74.10,25.70,77.80
22.70,74.20,25.70,77.80
22.70,74.30,25.70,77.50
22.70,74.40,25.70,77.60
22.60,73.90,25.70,77.60
22.60,72.10,25.70,77.60
22.50,70.30,25.70,77.60
22.50,69.40,25.80,77.50
22.50,68.40,25.80,77.80
22.50,67.70,25.80,78.00
22.30,66.70,25.80,77.90
22.40,66.10,25.80,77.90
22.30,65.60,25.90,78.10
22.20,64.90,25.90,78.00
22.20,64.40,25.80,77.80
22.20,63.90,25.90,77.90
22.20,63.70,25.90,77.70
22.20,63.70,25.90,77.60
22.10,63.40,25.90,77.50
22.10,63.00,25.90,77.40
22.00,62.60,25.90,77.20
22.00,62.10,26.00,77.20
21.90,61.80,25.90,77.10
21.90,61.50,25.90,77.00
21.90,61.30,26.00,76.90
21.90,61.40,26.00,76.80
21.80,61.20,26.00,76.70
21.80,60.90,26.00,76.60
21.80,60.40,26.00,76.50
21.70,60.20,26.00,76.50
21.70,60.00,26.00,76.30
21.70,60.20,26.00,76.20
21.60,60.00,26.00,76.10
21.60,60.10,26.00,76.10
21.60,60.00,26.10,76.20
21.50,60.00,26.00,76.00
21.50,60.10,26.10,76.20
21.50,59.80,26.10,76.10
21.50,59.80,26.10,76.00
21.40,59.90,26.10,75.90
21.30,59.80,26.20,76.20
21.40,59.70,26.10,75.80
21.40,59.50,26.20,75.80
21.30,59.40,26.10,75.70
21.20,59.20,26.20,75.90
21.20,59.20,26.20,75.90
21.30,59.20,26.20,75.80
21.20,59.00,26.20,75.80
21.20,59.10,26.20,75.90
21.10,58.90,26.20,76.20
21.10,58.80,26.20,76.20
21.00,58.60,26.20,75.80
21.00,58.60,26.20,75.60
21.00,58.70,26.20,75.40
21.00,58.60,26.20,75.30
21.00,58.60,26.30,75.30
20.90,58.40,26.30,75.30
20.90,58.40,26.30,75.30
20.80,58.60,26.30,75.20
20.80,58.70,26.30,75.10
20.80,58.70,26.20,75.00
20.80,58.90,26.30,75.10
20.70,58.80,26.30,75.00
20.70,58.80,26.30,75.00
20.70,58.70,26.30,75.00
20.60,58.80,26.30,75.00
20.70,58.90,26.30,75.00
20.60,58.80,26.30,75.10
20.50,58.70,26.30,75.10
20.60,58.90,26.30,75.00
20.50,59.00,26.40,75.30
20.50,59.10,26.40,75.10
20.50,58.90,26.30,74.90
20.50,58.90,26.40,74.90
20.40,58.90,26.40,75.10
20.40,58.80,26.40,75.30
20.40,59.00,26.40,75.10
20.40,58.90,26.40,74.70
20.30,58.90,26.40,74.60
20.20,58.80,26.40,74.50
20.30,58.90,26.40,74.50
20.20,58.80,26.40,74.40
20.20,58.80,26.50,74.40
20.20,58.80,26.40,74.40
20.20,58.70,26.50,74.30
20.10,58.70,26.50,74.20
20.10,58.70,26.40,74.10
20.10,58.80,26.50,74.10
20.10,58.80,26.50,74.00
19.90,58.70,26.40,73.90
20.00,58.80,26.50,73.90
19.90,58.90,26.50,73.80
19.90,58.90,26.50,73.80
